"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Prueba de interfaz de Google deshabilitada temporalmente","Suite Framework Híbrido Completo","Sun May 17 21:29:29 UTC 2026","unknown","Sun May 17 21:29:29 UTC 2026","tests.GoogleTest","Pruebas de Interfaz Web - Chrome","tests.GoogleTest","validarBusquedaYClickGoogle"
"","641","validarRazaEspecificaPorId","Suite Framework Híbrido Completo","Sun May 17 21:29:34 UTC 2026","passed","Sun May 17 21:29:34 UTC 2026","api.tests.DogApiTest","Pruebas de Servicios Backend API","api.tests.DogApiTest","validarRazaEspecificaPorId"
"","654","validarDatosCuriososAleatorios","Suite Framework Híbrido Completo","Sun May 17 21:29:33 UTC 2026","passed","Sun May 17 21:29:34 UTC 2026","api.tests.DogApiTest","Pruebas de Servicios Backend API","api.tests.DogApiTest","validarDatosCuriososAleatorios"
"","4229","validarColeccionDeRazas","Suite Framework Híbrido Completo","Sun May 17 21:29:29 UTC 2026","passed","Sun May 17 21:29:33 UTC 2026","api.tests.DogApiTest","Pruebas de Servicios Backend API","api.tests.DogApiTest","validarColeccionDeRazas"
"","4190","validarBusquedaGoogle","Suite de Automatizacion","Sun May 17 11:41:10 UTC 2026","failed","Sun May 17 11:41:14 UTC 2026","tests.GoogleTest","Pruebas en Chrome","tests.GoogleTest","validarBusquedaGoogle"
"","4196","validarBusquedaGoogle","Suite de Automatizacion","Sun May 17 11:41:22 UTC 2026","failed","Sun May 17 11:41:27 UTC 2026","tests.GoogleTest","Pruebas en Firefox","tests.GoogleTest","validarBusquedaGoogle"
"","1","Prueba de interfaz de Google deshabilitada temporalmente","Suite Framework Híbrido Completo","Sun May 17 21:29:29 UTC 2026","unknown","Sun May 17 21:29:29 UTC 2026","tests.GoogleTest","Pruebas de Interfaz Web - Firefox","tests.GoogleTest","validarBusquedaYClickGoogle"
"","0","Prueba de interfaz de Google deshabilitada temporalmente","Suite Framework Híbrido Completo","Sun May 17 21:29:29 UTC 2026","unknown","Sun May 17 21:29:29 UTC 2026","tests.GoogleTest","Pruebas de Interfaz Web - Edge","tests.GoogleTest","validarBusquedaYClickGoogle"
"","2","setUp","Suite de Automatizacion","Sun May 17 11:29:16 UTC 2026","broken","Sun May 17 11:29:16 UTC 2026","tests.GoogleTest","Pruebas en Firefox","tests.GoogleTest","setUp"
"","527","validarObtenerUsuario","Suite Framework Híbrido Completo","Sun May 17 13:32:35 UTC 2026","failed","Sun May 17 13:32:35 UTC 2026","api.tests.UserApiTest","Pruebas de Servicios Backend API","api.tests.UserApiTest","validarObtenerUsuario"
"","3311","validarCrearUsuario","Suite Framework Híbrido Completo","Sun May 17 13:32:31 UTC 2026","failed","Sun May 17 13:32:34 UTC 2026","api.tests.UserApiTest","Pruebas de Servicios Backend API","api.tests.UserApiTest","validarCrearUsuario"
"","0","validarBusquedaGoogle","Suite de Automatizacion","Sun May 17 11:41:30 UTC 2026","skipped","Sun May 17 11:41:30 UTC 2026","tests.GoogleTest","Pruebas en Edge","tests.GoogleTest","validarBusquedaGoogle"
"","1","setUp","Suite Framework Híbrido Completo","Sun May 17 13:51:49 UTC 2026","broken","Sun May 17 13:51:49 UTC 2026","tests.GoogleTest","Pruebas de Interfaz Web - Edge","tests.GoogleTest","setUp"
